Title,Date/Time,Location,Event Link,Image URL
Texas Mental Health Creative Arts Competition,"Mon, Feb 3, 2025",Virtual Event,https://calendar.utexas.edu/event/texas-mental-health-creative-arts-competition,https://localist-images.azureedge.net/photos/47871826161412/card/19a9090d2a5a0ae5c53a84795857d99a11fd382e.jpg
The 2025 HSF Scholar Program,"Mon, Feb 3, 2025 12am to 11:59pm",,https://calendar.utexas.edu/event/the-2025-hsf-scholar-program,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
The Modern Cowboy,"Mon, Feb 3, 2025","Visual Arts Center, Art Building (ART)",https://calendar.utexas.edu/event/the-modern-cowboy,https://localist-images.azureedge.net/photos/48176719784006/card/5dd75a5d16e37ea9326480810a47372d1a063fd2.jpg
"Transcendence: A Century of Black Queer Ecstasy, 1924‑2024","Mon, Feb 3, 2025","Visual Arts Center, Art Building (ART)",https://calendar.utexas.edu/event/transcendence-acentury-of-black-queer-ecstasy-19242024,https://localist-images.azureedge.net/photos/48176716450782/card/ba9fba9f8095e8bb10735f067dc9653131d5d61b.jpg
University of Texas Women's Golf vs Therese Hession Regional Challenge,"Mon, Feb 3, 2025","Palos Verdes, Calif.",https://calendar.utexas.edu/event/university-of-texas-womens-golf-vs-northrup-grumann-regional-8249,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
Looking for healthy women for a paid research study on the effects of breast cancer in the brain using artificial intelligence,"Mon, Feb 3, 2025 7am to 3pm",Health Discovery Building (HDB),https://calendar.utexas.edu/event/looking-for-healthy-women-for-a-paid-research-study-on-the-effects-of-breast-cancer-in-the-brain-using-artificial-intelligence,https://localist-images.azureedge.net/photos/47356273859842/card/7942ceb4d5960e996f06efb0190d5fd7fa8c391c.jpg
Paid Research Opportunity - UT Attention Bias Study,"Mon, Feb 3, 2025 9am to 4pm",Sarah M. and Charles E. Seay Building (SEA),https://calendar.utexas.edu/event/paid-research-opportunity-ut-attention-bias-study,https://localist-images.azureedge.net/photos/47171845044487/card/21ca6b6549f9eb52993d03b55e9607f260729def.jpg
Study About Treatment for Anxiety and Anxiety Related Disorders,"Mon, Feb 3, 2025 9am",Sarah M. and Charles E. Seay Building (SEA),https://calendar.utexas.edu/event/study_about_treatment_for_anxiety_and_anxiety_related_disorders,https://localist-images.azureedge.net/photos/97770/card/816d006a3b2ccd94009c918f9a607cc970530bb0.jpg
MS IT & Management Faculty Connect,"Mon, Feb 3, 2025 9:30am to 10:30am",,https://calendar.utexas.edu/event/ms-it-management-faculty-connect-256,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
Big Eye on Dark Skies: Hobby-Eberly Telescope,"Mon, Feb 3, 2025 10am to 5pm",Texas Science & Natural History Museum,https://calendar.utexas.edu/event/big-eye-on-dark-skies-hobby-eberly-telescope,https://localist-images.azureedge.net/photos/48066159206288/card/bd986c3b4bbaa7fa3ab1863c1c3dc6f8164a3383.jpg
